pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id,split,decision_profile,feature_security_priority,feature_latency_priority,feature_throughput_priority,feature_robustness_priority,qkd_headroom,qkd_noise_ratio,qkd_raw_cost_log2,qkd_risk_proxy,lindblad_on,lindblad_intensity,network_stress,payload_pressure_log2,system_stress,is_qkd_pipeline,is_lindblad_pipeline
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1909.21618,2030.5195489,1489.21618,1610.5195489,67.04321979923719,536.3457583938975,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1909.21618,536.3457583938975,fb0d4ab87127402d,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1909.21618,2030.5195489,1489.21618,1610.5195489,67.04321979923719,536.3457583938975,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1909.21618,536.3457583938975,fb0d4ab87127402d,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1909.21618,2030.5195489,1489.21618,1610.5195489,67.04321979923719,536.3457583938975,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1909.21618,536.3457583938975,fb0d4ab87127402d,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,1.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2042.492592,2295.4187262,1622.492592,1875.4187262,62.66852594782876,501.3482075826301,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,2042.492592,501.3482075826301,5ef9d77c6d7eeba2,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,2.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2042.492592,2295.4187262,1622.492592,1875.4187262,62.66852594782876,501.3482075826301,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,2042.492592,501.3482075826301,5ef9d77c6d7eeba2,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,2.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,128,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2042.492592,2295.4187262,1622.492592,1875.4187262,62.66852594782876,501.3482075826301,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,2042.492592,501.3482075826301,5ef9d77c6d7eeba2,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,80.0,7.0,2.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1560.589406,1578.9350168,1560.589406,1578.9350168,656.1623422938961,5249.298738351169,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1560.589406,5249.298738351169,6f6c8b45ec93f476,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,0.0,10.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1560.589406,1578.9350168,1560.589406,1578.9350168,656.1623422938961,5249.298738351169,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1560.589406,5249.298738351169,6f6c8b45ec93f476,train,BALANCED,0.65,0.65,0.5,0.8,0.08,0.0,10.0,0.0,0,0.0,0.0,10.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1560.589406,1578.9350168,1560.589406,1578.9350168,656.1623422938961,5249.298738351169,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1560.589406,5249.298738351169,6f6c8b45ec93f476,train,SECURE,1.0,0.2,0.2,1.0,0.08,0.0,10.0,0.0,0,0.0,0.0,10.0,0.0,0,0
P1_PQC_MLDSA,main_pipeline,focused,1024,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1582.034453,2008.4451029,1582.034453,2008.4451029,647.2678253360391,5178.142602688313,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1582.034453,5178.142602688313,27ce4cae70d4f3ac,train,FAST,0.2,1.0,0.7,0.7,0.08,0.0,10.0,0.0,0,0.0,0.0,10.0,1.0,0,0
