condition_group_id,decision_profile,composition_id,primary_pipeline_id,composition_reward,best_alias_pipeline_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,security_score
07d8fd65ce198650,SECURE,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.8170094694509545,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7372567479448764
0b4f707926e27c34,BALANCED,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.776525508125465,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6996391223464256
0b4f707926e27c34,BALANCED,COMP_2c4959b9b429,A2_PQC_LINDBLAD,0.6717080196477557,A2_PQC_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.737806274473231
0b4f707926e27c34,BALANCED,COMP_7d6120b17b53,A6_FULL_HARDENED,0.6261006661641735,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.7409950018312257
0b4f707926e27c34,BALANCED,COMP_ae859146ecc4,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,P2_PQC_MLDSA_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6619992061004064
0b4f707926e27c34,BALANCED,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.6629359142569669,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.7372567479448764
0b4f707926e27c34,FAST,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.7731795310582363,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6996391223464256
0b4f707926e27c34,FAST,COMP_2c4959b9b429,A2_PQC_LINDBLAD,0.5801662927264687,A2_PQC_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.737806274473231
0b4f707926e27c34,FAST,COMP_7d6120b17b53,A6_FULL_HARDENED,0.5025736413343944,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.7409950018312257
0b4f707926e27c34,FAST,COMP_ae859146ecc4,P2_PQC_MLDSA_LINDBLAD,0.9661999206100407,P2_PQC_MLDSA_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6619992061004064
0b4f707926e27c34,FAST,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.5658083581561065,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.7372567479448764
0b4f707926e27c34,SECURE,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.7803340785092607,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6996391223464256
0b4f707926e27c34,SECURE,COMP_2c4959b9b429,A2_PQC_LINDBLAD,0.7638423725446469,A2_PQC_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.737806274473231
0b4f707926e27c34,SECURE,COMP_7d6120b17b53,A6_FULL_HARDENED,0.7501811396064836,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.7409950018312257
0b4f707926e27c34,SECURE,COMP_ae859146ecc4,P2_PQC_MLDSA_LINDBLAD,0.7971995236602438,P2_PQC_MLDSA_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,0.6619992061004064
